Volcano Number,Volcano Name,Country,Volcanic Region Group,Volcanic Region,Primary Volcano Type,Activity Evidence,Last Known Eruption CE,Latitude,Longitude,Elevation (m),Tectonic Setting,Dominant Rock Type
305011,Arxan-Chaihe,China,Eastern Asia Volcanic Regions,Central East Asia Volcanic Province,Volcanic field,Eruption Dated,0,47.45,120.8,1677,Intraplate / Continental crust (>25 km),Basalt / Picro-Basalt
383040,Gran Canaria,Spain,Northern Africa Volcanic Regions,Canary Volcanic Province,Fissure vent(s),Eruption Dated,40,28,-15.58,1950,Intraplate / Intermediate crust (15-25 km),Trachybasalt / Tephrite Basanite
214010,Elbrus,Russia,Arabia-Central Asia Volcanic Regions,Caucasus Volcanic Province,Stratovolcano,Eruption Dated,50,43.351,42.442,5642,Intraplate / Continental crust (>25 km),Dacite
271031,Leonard Range,Philippines,Western Pacific Volcanic Regions,Eastern Philippine Volcanic Arc,Stratovolcano,Eruption Dated,80,7.382,126.047,1080,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
212030,Milos,Greece,European Volcanic Regions,Hellenic Volcanic Arc,Stratovolcano(es),Eruption Dated,140,36.699,24.439,751,Subduction zone / Continental crust (>25 km),Rhyolite
371050,Hengill,Iceland,Atlantic Ocean Volcanic Regions,Iceland Neovolcanic Rift Volcanic Province,Crater rows,Eruption Dated,150,64.083,-21.416,803,Rift zone / Oceanic crust (< 15 km),Basalt / Picro-Basalt
360030,Liamuiga,Saint Kitts and Nevis,Middle America-Caribbean Volcanic Regions,Lesser Antilles Volcanic Arc,Stratovolcano,Eruption Dated,160,17.37,-62.8,1156,Subduction zone / Oceanic crust (< 15 km),Andesite / Basaltic Andesite
300170,Uzon,Russia,Northwest Pacific Volcanic Regions,Eastern Kamchatka Volcanic Arc,Caldera(s),Eruption Dated,200,54.4885,159.9741,1617,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
358052,Melimoyu,Chile,South America Volcanic Regions,Southern Andean Volcanic Arc,Stratovolcano,Eruption Dated,200,-44.08,-72.88,2400,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
370010,Snaefellsjokull,Iceland,Atlantic Ocean Volcanic Regions,Iceland Neovolcanic Rift Volcanic Province,Stratovolcano,Eruption Dated,200,64.8,-23.783,1446,Rift zone / Oceanic crust (< 15 km),
